property_value_id,property_type_cd,property_id,property_value_desc,firm_id,active_flg,created_program_nm,created_user_nm,created_ts,modified_program_nm,modified_user_nm,modified_ts
4351,FS,87,YES,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893806,SEED,UPGRADE,2017-02-11 12:36:33.893806
4452,FS,89,f,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893806,SEED,UPGRADE,2017-02-11 12:36:33.893806
601,FS,13,100,1,f,,,2017-02-11 12:36:33.893806,From UI,UI,2017-04-11 18:32:44.07972
601,FS,13,100,1,t,From UI ,UI,2017-04-11 18:32:44.07972,,,
253,FS,6,TY3,1,t,,,2017-02-11 12:36:33.893556,SEED,UPGRADE,2017-02-11 12:36:33.893556
2651,FS,54,YES,1,t,,,2017-02-11 12:36:33.893556,SEED,UPGRADE,2017-02-11 12:36:33.893556
4301,FS,86,YES,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893556,SEED,UPGRADE,2017-02-11 12:36:33.893556
4402,FS,88,f,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893556,SEED,UPGRADE,2017-02-11 12:36:33.893556
258,FS,6,MTD,1,t,,,2017-02-11 12:36:33.893855,SEED,UPGRADE,2017-02-11 12:36:33.893855
1454,FS,30,BFR_1MNTH_END,1,t,,,2017-02-11 12:36:33.893855,SEED,UPGRADE,2017-02-11 12:36:33.893855
2053,FS,42,YTD,1,t,,,2017-02-11 12:36:33.893855,SEED,UPGRADE,2017-02-11 12:36:33.893855
3751,FS,75,ON,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893855,SEED,UPGRADE,2017-02-11 12:36:33.893855
3852,FS,77,ALL_ACCOUNTS,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893855,SEED,UPGRADE,2017-02-11 12:36:33.893855
5502,FS,110,NO,1,t,SEED,UPGRADE,2018-03-10 21:29:47.099331,,,
103,FS,3,CLOSE,1,t,,,2017-02-11 12:36:33.8938,SEED,UPGRADE,2017-02-11 12:36:33.8938
753,FS,16,0.5,1,t,,,2017-02-11 12:36:33.8938,SEED,UPGRADE,2017-02-11 12:36:33.8938
4151,FS,83,YES,1,t,SEED,UPGRADE,2017-02-11 12:36:33.8938,SEED,UPGRADE,2017-02-11 12:36:33.8938
4801,FS,96,YES,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
4902,FS,98,5~2016-12-31,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
5259,FS,105,CQ2,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
1051,FS,22,60934N195,1,t,,,2017-02-11 12:36:33.893751,SEED,UPGRADE,2017-02-11 12:36:33.893751
1701,FS,35,YES,1,t,,,2017-02-11 12:36:33.893751,SEED,UPGRADE,2017-02-11 12:36:33.893751
1802,FS,37,PRE_UPD_DT,1,t,,,2017-02-11 12:36:33.893751,SEED,UPGRADE,2017-02-11 12:36:33.893751
2079,FS,42,CM09,1,t,,,2017-02-11 12:36:33.893751,SEED,UPGRADE,2017-02-11 12:36:33.893751
2601,FS,53,MAN,1,t,,,2017-02-11 12:36:33.893751,SEED,UPGRADE,2017-02-11 12:36:33.893751
3251,FS,67,ON,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893751,SEED,UPGRADE,2017-02-11 12:36:33.893751
3352,FS,69,OFF,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893751,SEED,UPGRADE,2017-02-11 12:36:33.893751
351,FS,8,0.25,1,t,,,2017-02-11 12:36:33.894428,SEED,UPGRADE,2017-02-11 12:36:33.894428
1001,FS,21,48019P102,1,t,,,2017-02-11 12:36:33.894428,SEED,UPGRADE,2017-02-11 12:36:33.894428
4702,FS,94,NO,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
5352,FS,107,NO,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
1602,FS,33,FRDAY,1,t,,,2017-02-11 12:36:33.893608,SEED,UPGRADE,2017-02-11 12:36:33.893608
2060,FS,42,TY3,1,t,,,2017-02-11 12:36:33.893608,SEED,UPGRADE,2017-02-11 12:36:33.893608
3451,FS,71,YES,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893608,SEED,UPGRADE,2017-02-11 12:36:33.893608
5256,FS,105,TY10,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
1751,FS,36,YES,1,t,,,2017-02-11 12:36:33.89385,SEED,UPGRADE,2017-02-11 12:36:33.89385
2061,FS,42,TY5,1,t,,,2017-02-11 12:36:33.89385,SEED,UPGRADE,2017-02-11 12:36:33.89385
4052,FS,81,NO,1,t,SEED,UPGRADE,2017-02-11 12:36:33.89385,SEED,UPGRADE,2017-02-11 12:36:33.89385
53,FS,2,0.5,1,f,,,2017-02-11 12:36:33.89385,From UI,UI,2017-04-11 18:32:44.07972
53,FS,2,0.15,1,t,From UI ,UI,2017-04-11 18:32:44.07972,,,
5201,FS,104,YES,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
651,FS,14,0.35,1,t,,,2017-02-11 12:36:33.893837,SEED,UPGRADE,2017-02-11 12:36:33.893837
2952,FS,60,5,1,t,,,2017-02-11 12:36:33.893837,SEED,UPGRADE,2017-02-11 12:36:33.893837
4101,FS,82,YES,1,t,SEED,ROHINIK,2017-02-11 12:36:33.893837,SEED,UPGRADE,2017-02-11 12:36:33.893837
503,FS,11,GBP,1,t,,,2017-02-11 12:36:33.893807,SEED,UPGRADE,2017-02-11 12:36:33.893807
252,FS,6,TY1,1,t,,,2017-02-11 12:36:33.893618,SEED,UPGRADE,2017-02-11 12:36:33.893618
801,FS,17,0,1,t,,,2017-02-11 12:36:33.893618,SEED,UPGRADE,2017-02-11 12:36:33.893618
1451,FS,30,OFF,1,t,,,2017-02-11 12:36:33.893618,SEED,UPGRADE,2017-02-11 12:36:33.893618
2068,FS,42,CQ2,1,t,,,2017-02-11 12:36:33.893618,SEED,UPGRADE,2017-02-11 12:36:33.893618
2351,FS,48,48019P201,1,t,,,2017-02-11 12:36:33.893618,SEED,UPGRADE,2017-02-11 12:36:33.893618
3001,FS,61,EDJUS,1,t,,,2017-02-11 12:36:33.893618,SEED,UPGRADE,2017-02-11 12:36:33.893618
4551,FS,91,t,1,t,MANUAL,UPGRADE,2017-07-22 21:56:15.167588,,,
102,FS,3,LOW,1,t,,,2017-02-11 12:36:33.894094,SEED,UPGRADE,2017-02-11 12:36:33.894094
257,FS,6,QTD,1,t,,,2017-02-11 12:36:33.894094,SEED,UPGRADE,2017-02-11 12:36:33.894094
951,FS,20,48019P201,1,t,,,2017-02-11 12:36:33.894094,SEED,UPGRADE,2017-02-11 12:36:33.894094
1301,FS,27,OFF,1,t,,,2017-02-11 12:36:33.894094,SEED,UPGRADE,2017-02-11 12:36:33.894094
1803,FS,37,MNTH_END,1,t,,,2017-02-11 12:36:33.894094,SEED,UPGRADE,2017-02-11 12:36:33.894094
3501,FS,72,YES,1,t,SEED,UPGRADE,2017-02-11 12:36:33.894094,SEED,UPGRADE,2017-02-11 12:36:33.894094
4401,FS,88,t,1,t,SEED,UPGRADE,2017-02-11 12:36:33.894094,SEED,UPGRADE,2017-02-11 12:36:33.894094
2078,FS,42,CM08,1,t,,,2017-02-11 12:36:33.893398,SEED,UPGRADE,2017-02-11 12:36:33.893398
3752,FS,75,OFF,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893398,SEED,UPGRADE,2017-02-11 12:36:33.893398
4652,FS,93,NO,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
5258,FS,105,MTD,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
259,FS,6,TY2,1,t,,,2017-02-11 12:36:33.893935,SEED,UPGRADE,2017-02-11 12:36:33.893935
2064,FS,42,CY1,1,t,,,2017-02-11 12:36:33.893935,SEED,UPGRADE,2017-02-11 12:36:33.893935
3351,FS,69,ON,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893935,SEED,UPGRADE,2017-02-11 12:36:33.893935
4001,FS,80,ICP,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893935,SEED,UPGRADE,2017-02-11 12:36:33.893935
451,FS,10,0.25,1,f,,,2017-02-11 12:36:33.893935,From UI,UI,2017-04-11 18:32:44.07972
451,FS,10,0.10,1,t,From UI ,UI,2017-04-11 18:32:44.07972,,,
5252,FS,105,YTD,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
2901,FS,59,YES,1,t,,,2017-02-11 12:36:33.893835,SEED,UPGRADE,2017-02-11 12:36:33.893835
4152,FS,83,NO,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893835,SEED,UPGRADE,2017-02-11 12:36:33.893835
4802,FS,96,NO,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
3452,FS,71,NO,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893955,SEED,UPGRADE,2017-02-11 12:36:33.893955
5151,FS,103,30,1,t,SEED,SOMNATH,2017-11-11 21:55:55.733359,,,
264,FS,6,TY15,1,t,,,2017-02-11 12:36:33.893543,SEED,UPGRADE,2017-02-11 12:36:33.893543
2059,FS,42,TY2,1,t,,,2017-02-11 12:36:33.893543,SEED,UPGRADE,2017-02-11 12:36:33.893543
2251,FS,46,1000,1,t,,,2017-02-11 12:36:33.893543,SEED,UPGRADE,2017-02-11 12:36:33.893543
3002,FS,61,EDJCA,1,t,,,2017-02-11 12:36:33.893543,SEED,UPGRADE,2017-02-11 12:36:33.893543
4701,FS,94,YES,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
263,FS,6,TM9,1,t,,,2017-02-11 12:36:33.8934,SEED,UPGRADE,2017-02-11 12:36:33.8934
2052,FS,42,QTD,1,t,,,2017-02-11 12:36:33.8934,SEED,UPGRADE,2017-02-11 12:36:33.8934
2702,FS,55,NO,1,t,,,2017-02-11 12:36:33.8934,SEED,UPGRADE,2017-02-11 12:36:33.8934
3901,FS,78,2012-12-31,1,t,SEED,UPGRADE,2017-02-11 12:36:33.8934,SEED,BARATHR,2017-02-11 12:36:33.8934
204,FS,5,Horizontal First Vertical Later,1,t,,,2017-02-11 12:36:33.894063,SEED,UPGRADE,2017-02-11 12:36:33.894063
1403,FS,29,NXT_MNTH_ST,1,t,,,2017-02-11 12:36:33.894063,SEED,UPGRADE,2017-02-11 12:36:33.894063
4252,FS,85,NO,1,t,SEED,UPGRADE,2017-02-11 12:36:33.894063,SEED,UPGRADE,2017-02-11 12:36:33.894063
5451,FS,109,0.07,1,t,SEED,UPGRADE,2018-03-10 21:29:47.099331,,,
1752,FS,36,NO,1,t,,,2017-02-11 12:36:33.893903,SEED,UPGRADE,2017-02-11 12:36:33.893903
2951,FS,60,0,1,t,,,2017-02-11 12:36:33.893903,SEED,UPGRADE,2017-02-11 12:36:33.893903
4601,FS,92,YES,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
1501,FS,31,ON,1,t,,,2017-02-11 12:36:33.893814,SEED,UPGRADE,2017-02-11 12:36:33.893814
2070,FS,42,CQ4,1,t,,,2017-02-11 12:36:33.893814,SEED,UPGRADE,2017-02-11 12:36:33.893814
4852,FS,97,NO,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
5202,FS,104,NO,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
751,FS,16,0.01,1,t,,,2017-02-11 12:36:33.8934,SEED,UPGRADE,2017-02-11 12:36:33.8934
1101,FS,23,480199108,1,t,,,2017-02-11 12:36:33.8934,SEED,UPGRADE,2017-02-11 12:36:33.8934
1603,FS,33,MNTH_END,1,t,,,2017-02-11 12:36:33.8934,SEED,UPGRADE,2017-02-11 12:36:33.8934
2081,FS,42,CM11,1,t,,,2017-02-11 12:36:33.8934,SEED,UPGRADE,2017-02-11 12:36:33.8934
2502,FS,51,NO,1,t,,,2017-02-11 12:36:33.8934,SEED,UPGRADE,2017-02-11 12:36:33.8934
3004,FS,61,SCMCA,1,t,,,2017-02-11 12:36:33.8934,SEED,UPGRADE,2017-02-11 12:36:33.8934
4201,FS,84,35,1,t,SEED,UPGRADE,2017-02-11 12:36:33.8934,SEED,UPGRADE,2017-02-11 12:36:33.8934
5602,FS,112,OFF,1,t,SEED,UPGRADE,2018-06-21 02:57:45.054161,,,
5651,FS,113,ON,1,t,SEED,UPGRADE,2018-06-21 02:57:45.054161,,,
3951,FS,79,0.30,1,t,SEED,UPGRADE,2017-02-11 12:36:33.894157,SEED,UPGRADE,2017-02-11 12:36:33.894157
501,FS,11,USD,1,f,,,2017-02-11 12:36:33.894157,From UI,UI,2017-04-11 18:32:44.07972
501,FS,11,USD,1,t,From UI ,UI,2017-04-11 18:32:44.07972,,,
5302,FS,106,NO,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
752,FS,16,0.005,1,t,,,2017-02-11 12:36:33.893427,SEED,UPGRADE,2017-02-11 12:36:33.893427
1254,FS,26,AFTR_1MNTH_ST,1,t,,,2017-02-11 12:36:33.893427,SEED,UPGRADE,2017-02-11 12:36:33.893427
2066,FS,42,CY3,1,t,,,2017-02-11 12:36:33.893427,SEED,UPGRADE,2017-02-11 12:36:33.893427
2851,FS,58,YES,1,t,,,2017-02-11 12:36:33.893427,SEED,UPGRADE,2017-02-11 12:36:33.893427
4202,FS,84,0,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893427,SEED,UPGRADE,2017-02-11 12:36:33.893427
5051,FS,101,YES,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
502,FS,11,CAD,1,t,,,2017-02-11 12:36:33.894447,SEED,UPGRADE,2017-02-11 12:36:33.894447
1253,FS,26,NXT_MNTH_ST,1,t,,,2017-02-11 12:36:33.894447,SEED,UPGRADE,2017-02-11 12:36:33.894447
5052,FS,101,NO,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
5301,FS,106,YES,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
5402,FS,108,NO,1,t,SEED,UPGRADE,2018-03-10 21:29:47.099331,,,
1952,FS,40,OFF,1,t,,,2017-02-11 12:36:33.893584,SEED,UPGRADE,2017-02-11 12:36:33.893584
2057,FS,42,TM9,1,t,,,2017-02-11 12:36:33.893584,SEED,UPGRADE,2017-02-11 12:36:33.893584
2751,FS,56,ON,1,t,,,2017-02-11 12:36:33.893584,SEED,UPGRADE,2017-02-11 12:36:33.893584
2852,FS,58,NO,1,t,,,2017-02-11 12:36:33.893584,SEED,UPGRADE,2017-02-11 12:36:33.893584
551,FS,12,100,1,f,,,2017-02-11 12:36:33.893584,From UI,UI,2017-04-11 18:32:44.07972
551,FS,12,100,1,t,From UI ,UI,2017-04-11 18:32:44.07972,,,
151,FS,4,Days,1,t,,,2017-02-11 12:36:33.893596,SEED,UPGRADE,2017-02-11 12:36:33.893596
1653,FS,34,NOT_INCL,1,t,,,2017-02-11 12:36:33.893596,SEED,UPGRADE,2017-02-11 12:36:33.893596
2063,FS,42,TY15,1,t,,,2017-02-11 12:36:33.89439,SEED,UPGRADE,2017-02-11 12:36:33.89439
5701,FS,114,ON,1,t,SEED,UPGRADE,2018-09-05 04:18:20.336046,,,
