property_id,property_type_cd,property_desc,firm_id,active_flg,created_program,created_user,created_ts,modified_program,modified_user,modified_ts
69,FS,ACC_OUTLIER_MIN_EMV_FLG,1,t,SEED,UPGRADE,2017-02-11 12:36:33.894462,,,
37,FS,ACCOUNT_EXCL,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893584,,,
101,FS,SOR_SYS_BU_PSD_FLG,1,t,MANUAL,UPGRADE,2017-07-22 21:56:15.167588,,,
47,FS,MA_MONEY_MARKET_CUSIP_1,1,t,MANUAL,VINOD,2017-02-11 12:36:33.893455,SEED,MA,2017-02-11 12:36:33.893455
111,FS,INS_CUR_ACC_CNT,1,t,SEED,UPGRADE,2018-05-12 21:28:20.14338,,,
15,FS,Price Shelf Life,1,t,,,2017-02-11 12:36:33.893806,SEED,UPGRADE,2017-02-11 12:36:33.893806
79,FS,ROR_BMV_MUL_PAR,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893806,,,
39,FS,PRICE_CARRY_FORWARD,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.8938,,,
103,FS,BLEND_BEN_ROR_RECALC_DAYS,1,t,MANUAL,SOMNATH,2017-11-11 21:55:55.733359,,,
7,FS,Benchmark For Statement Extract,1,t,MANUAL,ROHINIK,2017-02-11 12:36:33.893751,SEED,UPGRADE,2017-02-11 12:36:33.893751
71,FS,INCL_BCK_DT_OUTLIER_FLG,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893751,,,
14,FS,PRICE_THRESHOLD_EXCP,1,t,MANUAL,ROHINIK,2017-02-11 12:36:33.893903,SEED,UPGRADE,2017-02-11 12:36:33.893903
78,FS,FIRM_PSD,1,t,SEED,BARATHR,2017-02-11 12:36:33.893903,,,
46,FS,MA_ROR_CONV_MAX_VAL,1,t,MANUAL,SUDHEERE,2017-02-11 12:36:33.893814,SEED,MA,2017-02-11 12:36:33.893814
110,FS,RPT_DISCLOSURES,1,t,SEED,UPGRADE,2018-03-10 21:29:47.099331,,,
28,FS,MODEL_CHNG,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893807,,,
